Year,Titles,Producers,Network,Category
2010,Modern Family ,"Steven Levitan and Christopher Lloyd, executive producers; Jason Winer, Danny Zuker, Dan O'Shannon, Bill Wrubel, Paul Corrigan and Brad Walsh, co-executive producers; Jeff Morton, producer",ABC,Comedy
2010,Curb Your Enthusiasm ,"Larry David, Jeff Garlin, Gavin Polone, Alec Berg, David Mandel, Jeff Schaffer, Tim Gibbons and Erin O'Malley, executive producers",HBO,Comedy
2010,Glee ,"Ryan Murphy, Brad Falchuk and Dante Di Loreto, executive producers; Ian Brennan, co-executive producer; Bradley Buecker, supervising producer; Alexis Martin Woodall, producer; Kenneth Silverstein, produced by",Fox,Comedy
2010,Nurse Jackie ,"Linda Wallem, Liz Brixius, John Melfi, Caryn Mandabach, Richie Jackson, Christine Zander and Mark Hudis, executive producers; Rick Cleveland, co-executive producer; Bari Halle, produced by",Showtime,Comedy
2010,The Office ,"Greg Daniels, Ben Silverman, Ricky Gervais, Stephen Merchant, Howard Klein and Paul Lieberstein, executive producers; Mindy Kaling, Lee Eisenberg, B. J. Novak, Aaron Shure and Teri Weinberg, co-executive producers; Daniel Chun, supervising producer; Steve Carell, Justin Spitzer, Charlie Grandy, Warren Lieberstein and Halsted Sullivan, producers; Randy Cordray, produced by",NBC,Comedy
2010,30 Rock ,"Lorne Michaels, Tina Fey, Marci Klein, David Miner and Robert Carlock, executive producers; John Riggi and Ron Weiner, co-executive producers",NBC,Comedy
2011,Modern Family ,"Steven Levitan and Christopher Lloyd, executive producers; Jeff Morton, Danny Zuker, Dan O'Shannon, Bill Wrubel, Paul Corrigan, Brad Walsh, Ilana Wernick, Jeffrey Richman and Abraham Higginbotham, co-executive producers",ABC,Comedy
2011,The Big Bang Theory ,"Chuck Lorre, Bill Prady, Steven Molaro and Lee Aronsohn, executive producers; Dave Goetsch and Eric Kaplan, co-executive producers; Jim Reynolds and Peter Chakos, supervising producers; Steve Holland, producer; Faye Oshima Belyeu, produced by",CBS,Comedy
2011,Glee ,"Ryan Murphy, Brad Falchuk, Dante Di Loreto and Ian Brennan, executive producers; Bradley Buecker, supervising producer; Alexis Martin Woodall, Kenneth Silverstein and Michael Novick, producers",Fox,Comedy
2011,The Office ,"Ben Silverman, Greg Daniels, Ricky Gervais, Stephen Merchant, Howard Klein and Paul Lieberstein, executive producers; B. J. Novak, executive producer/co-executive producer; Teri Weinberg, Mindy Kaling, Aaron Shure, Daniel Chun and Peter Ocko, co-executive producers; Justin Spitzer and Charlie Grandy, supervising producers; Steve Carell, Warren Lieberstein, Halsted Sullivan and Steve Hely, producers; Randy Cordray, produced by",NBC,Comedy
2011,Parks and Recreation ,"Greg Daniels, Michael Schur, Howard Klein and David Miner, executive producers; Dan Goor, supervising producer; Amy Poehler and Emily Spivey, producers; Morgan Sackett, produced by",NBC,Comedy
2011,30 Rock ,"Lorne Michaels, Tina Fey, Robert Carlock, Marci Klein, David Miner, Jeff Richmond and John Riggi, executive producers; Ron Weiner, Jack Burditt and Matt Hubbard, co-executive producers; Alec Baldwin, Kay Cannon, Vali Chandrasekaran, Don Scardino, Josh Siegal, Dylan Morgan and Irene Burns, producers; Jerry Kupfer, produced by",NBC,Comedy
2012,Modern Family ,"Steven Levitan, Christopher Lloyd, Danny Zuker, Dan O'Shannon, Bill Wrubel, Paul Corrigan and Brad Walsh, executive producers; Jeff Morton, Jeffrey Richman, Abraham Higginbotham and Cindy Chupack, co-executive producers; Chris Smirnoff, producer",ABC,Comedy
2012,The Big Bang Theory ,"Chuck Lorre, Bill Prady and Steven Molaro, executive producers; Dave Goetsch, Eric Kaplan and Jim Reynolds, co-executive producers; Steve Holland and Peter Chakos, supervising producers; Maria Ferrari, producer; Faye Oshima Belyeu, produced by",CBS,Comedy
2012,Curb Your Enthusiasm ,"Larry David, Jeff Garlin, Gavin Polone, Alec Berg, David Mandel, Jeff Schaffer, Larry Charles, Tim Gibbons and Erin O'Malley, executive producers; Laura Streicher, producer",HBO,Comedy
2012,Girls ,"Lena Dunham, Judd Apatow and Jenni Konner, executive producers; Ilene S. Landress and Bruce Eric Kaplan, co-executive producers",HBO,Comedy
2012,30 Rock ,"Lorne Michaels, Tina Fey, Robert Carlock, Marci Klein, David Miner, Jeff Richmond and John Riggi, executive producers; Ron Weiner and Matt Hubbard, co-executive producers; Kay Cannon, Vali Chandrasekaran, Josh Siegal, Dylan Morgan and Luke Del Tredici, supervising producers; Jerry Kupfer, Alec Baldwin and Irene Burns, producers",NBC,Comedy
2012,Veep ,"Armando Iannucci, Christopher Godsick and Frank Rich, executive producers; Simon Blackwell and Tony Roche, co-executive producers; Julia Louis-Dreyfus, producer; Stephanie Laing, produced by",HBO,Comedy
2013,Modern Family ,"Steven Levitan, Christopher Lloyd, Danny Zuker, Dan O'Shannon, Bill Wrubel, Paul Corrigan, Brad Walsh, Jeffrey Richman, Abraham Higginbotham and Jeff Morton, executive producers; Ben Karlin, co-executive producer; Elaine Ko and Chris Smirnoff, producers",ABC,Comedy
2013,The Big Bang Theory ,"Chuck Lorre, Steven Molaro and Bill Prady, executive producers; Dave Goetsch, Eric Kaplan, Jim Reynolds, Steve Holland, Eddie Gorodetsky and Faye Oshima Belyeu, co-executive producers; Peter Chakos and Maria Ferrari, supervising producers",CBS,Comedy
2013,Girls ,"Lena Dunham, Judd Apatow and Jenni Konner, executive producers; Ilene S. Landress and Bruce Eric Kaplan, co-executive producers",HBO,Comedy
2013,Louie ,"Louis C.K., M. Blair Breard and Dave Becky, executive producers; Tony Hernandez, supervising producer; Vernon Chatman, producer",FX,Comedy
2013,30 Rock ,"Tina Fey, Robert Carlock, Marci Klein, David Miner, Jeff Richmond, Jack Burditt and Lorne Michaels, executive producers; Matt Hubbard, Josh Siegal, Dylan Morgan and Luke Del Tredici, co-executive producers; Alec Baldwin, Colleen McGuinness, Tracey Wigfield and Jerry Kupfer, producers",NBC,Comedy
2013,Veep ,"Armando Iannucci, Christopher Godsick and Frank Rich, executive producers; Simon Blackwell and Tony Roche, co-executive producers; Julia Louis-Dreyfus and Stephanie Laing, producers",HBO,Comedy
2014,Modern Family ,"Steven Levitan, Christopher Lloyd, Dan O'Shannon, Paul Corrigan, Brad Walsh, Bill Wrubel, Danny Zuker, Jeffrey Richman, Abraham Higginbotham and Jeff Morton, executive producers; Ben Karlin, co-executive producer; Elaine Ko and Megan Ganz, supervising producers; Chris Smirnoff and Sally Young, producers",ABC,Comedy
2014,The Big Bang Theory ,"Chuck Lorre, Steven Molaro and Bill Prady, executive producers; Dave Goetsch, Eric Kaplan, Jim Reynolds, Steve Holland, Maria Ferrari and Faye Oshima Belyeu, co-executive producers; Peter Chakos, supervising producer; Kristy Cecil, producer",CBS,Comedy
2014,Louie ,"Louis C.K., M. Blair Breard and Dave Becky, executive producers; Adam Escott, supervising producer; Pamela Adlon and Vernon Chatman, producers; Steven Wright, consulting producer",FX,Comedy
2014,Orange Is the New Black ,"Jenji Kohan, executive producer; Sara Hess, Michael Trim and Lisa I. Vinnecour, co-executive producers; Gary Lennon, supervising producer; Neri Kyle Tannenbaum, produced by; Mark A. Burley, consulting producer",Netflix,Comedy
2014,Silicon Valley ,"Mike Judge, Alec Berg, John Altschuler, Dave Krinsky, Michael Rotenberg and Tom Lassally, executive producers; Jim Kleverweis, produced by",HBO,Comedy
2014,Veep ,"Armando Iannucci, Christopher Godsick and Frank Rich, executive producers; Simon Blackwell and Tony Roche, co-executive producers; Chris Addison, Roger Drew, Sean Gray, Ian Martin and Will Smith, supervising producers; Julia Louis-Dreyfus, producer; Stephanie Laing, produced by",HBO,Comedy
2015,Veep ,"Armando Iannucci, Christopher Godsick, Frank Rich, Chris Addison, Simon Blackwell, Tony Roche, Julia Louis-Dreyfus and Stephanie Laing, executive producers; Kevin Cecil, Roger Drew, Sean Gray, Ian Martin, Georgia Pritchett, David Quantick, Andy Riley and Will Smith, supervising producers; Bill Hill, produced by",HBO,Comedy
2015,Louie ,"Louis C.K., M. Blair Breard and Dave Becky, executive producers; Adam Escott, supervising producer; Pamela Adlon, Vernon Chatman and Steven Wright, producers; John Skidmore, produced by",FX,Comedy
2015,Modern Family ,"Christopher Lloyd, Steven Levitan, Paul Corrigan, Brad Walsh, Danny Zuker, Abraham Higginbotham, Jeffrey Richman and Jeff Morton, executive producers; Elaine Ko, Megan Ganz, Vali Chandrasekaran, Stephen Lloyd, Rick Wiener, Kenny Schwartz and Chuck Tatham, co-executive producers; Chris Smirnoff and Sally Young, producers",ABC,Comedy
2015,Parks and Recreation ,"Greg Daniels, Michael Schur, Howard Klein, David Miner, Morgan Sackett and Dean Holland, executive producers; Alan Yang, Harris Wittels, Donick Cary, Matt Murray and Aisha Muharrar, co-executive producers; Dave King, David Hyman and Amy Poehler, producers",NBC,Comedy
2015,Silicon Valley ,"Mike Judge, Alec Berg, John Altschuler, Dave Krinsky, Michael Rotenberg and Tom Lassally, executive producers; Dan O'Keefe and Clay Tarver, co-executive producers; Sonny Lee and Ron Weiner, supervising producers; Carrie Kemper, producer; Jim Kleverweis, produced by",HBO,Comedy
2015,Transparent ,"Joey Soloway (as Jill Soloway), executive producer; Andrea Sperling, co-executive producer; Bridget Bedard, supervising producer; Victor Hsu, produced by; Rick Rosenthal and Nisha Ganatra, consulting producers",Amazon,Comedy
2015,Unbreakable Kimmy Schmidt ,"Jeff Richmond, David Miner, Jack Burditt, Tina Fey and Robert Carlock, executive producers; Allison Silverman and Eric Gurian, co-executive producers; Dan Rubin and Lon Zimmet, supervising producers; Sam Means and Dara Schnapper, producers; Jerry Kupfer, produced by",Netflix,Comedy
2016,Veep ,"David Mandel, Frank Rich, Julia Louis-Dreyfus, Lew Morton and Christopher Godsick, executive producers; Morgan Sackett, Sean Gray, Peter Huyck, Alex Gregory, Jim Margolis, Georgia Pritchett and Will Smith, co-executive producers; Chris Addison and Rachel Axler, supervising producers; David Hyman, produced by; Erik Kenward, Billy Kimball and Steve Koren, consulting producers",HBO,Comedy
2016,Black-ish ,"Kenya Barris, Jonathan Groff, Anthony Anderson, E. Brian Dobbins, Laurence Fishburne and Helen Sugland, executive producers; Gail Lerner, Vijal Patel, Corey Nickerson and Courtney Lilly, co-executive producers; Lindsey Shockley, Peter Saji, Jenifer Rice-Genzuk Henry and Hale Rothstein, supervising producers; Michael Petok, produced by",ABC,Comedy
2016,Master of None ,"Aziz Ansari, Alan Yang, Michael Schur, David Miner and Dave Becky, executive producers; Harris Wittels, co-executive producer; Igor Srubshchik, produced by",Netflix,Comedy
2016,Modern Family ,"Steven Levitan, Christopher Lloyd, Paul Corrigan, Brad Walsh, Danny Zuker, Abraham Higginbotham, Jeffrey Richman, Elaine Ko, Stephen Lloyd and Jeff Morton, executive producers; Vali Chandrasekaran, Chuck Tatham, Andy Gordon, Jon Pollack and Vanessa McCarthy, co-executive producers; Chris Smirnoff and Sally Young, producers",ABC,Comedy
2016,Silicon Valley ,"Mike Judge, Alec Berg, Michael Rotenberg and Tom Lassally, executive producers; Clay Tarver, Dan O'Keefe, Ron Weiner, John Levenstein and Jim Kleverweis, co-executive producers; Carrie Kemper, supervising producer; Adam Countee, producer",HBO,Comedy
2016,Transparent ,"Joey Soloway (as Jill Soloway) and Andrea Sperling, executive producers; Victor Hsu and Bridget Bedard, co-executive producers; Noah Harpster and Micah Fitzerman-Blue, producers; Rick Rosenthal, consulting producer",Amazon,Comedy
2016,Unbreakable Kimmy Schmidt ,"Robert Carlock, Tina Fey, Jeff Richmond and David Miner, executive producers; Allison Silverman, Josh Siegal, Dylan Morgan and Eric Gurian, co-executive producers; Sam Means, Dan Rubin and Leila Strachan, supervising producers; Dara Schnapper, producer; Jerry Kupfer, produced by",Netflix,Comedy
2017,Veep ,"David Mandel, Frank Rich, Julia Louis-Dreyfus, Lew Morton and Morgan Sackett, executive producers; Peter Huyck, Alex Gregory, Georgia Pritchett, Jennifer Crittenden, Gabrielle Allan, Ian Maxtone-Graham, Steve Hely, Ted Cohen and David Hyman, co-executive producers; Rachel Axler and Billy Kimball, supervising producers; Dale Stern, producer; Erik Kenward and Dan Mintz, consulting producers",HBO,Comedy
2017,Atlanta ,"Donald Glover, Paul Simms and Dianne McGunigle, executive producers; Hiro Murai, producer; Alex Orr, produced by",FX,Comedy
2017,Black-ish ,"Jonathan Groff, Kenya Barris, Anthony Anderson, Laurence Fishburne, Helen Sugland, E. Brian Dobbins and Corey Nickerson, executive producers; Gail Lerner, Courtney Lilly, Jenifer Rice-Genzuk Henry, Hale Rothstein, Kenny Smith, Laura Gutin Peterson, Vijal Patel, Emily Halpern and Sarah Haskins, co-executive producers; Lindsey Shockley and Peter Saji, supervising producers; Michael Petok, produced by",ABC,Comedy
2017,Master of None ,"Aziz Ansari, Alan Yang, Michael Schur, David Miner, Dave Becky and Igor Srubshchik, executive producers; Andy Blitz, co-executive producer; Eric Wareheim, supervising producer",Netflix,Comedy
2017,Modern Family ,"Christopher Lloyd, Steven Levitan, Paul Corrigan, Brad Walsh, Danny Zuker, Abraham Higginbotham, Jeffrey Richman, Elaine Ko, Stephen Lloyd, Vali Chandrasekaran, Chuck Tatham and Jeff Morton, executive producers; Andy Gordon and Jon Pollack, co-executive producers; Sally Young, producer; Christy Stratton, consulting producer",ABC,Comedy
2017,Silicon Valley ,"Mike Judge, Alec Berg, Michael Rotenberg and Tom Lassally, executive producers; Clay Tarver, Dan O'Keefe, Chris Provenzano, Graham Wagner, Jamie Babbit and Jim Kleverweis, co-executive producers; Carrie Kemper, Adam Countee and Aaron Zelman, supervising producers",HBO,Comedy
2017,Unbreakable Kimmy Schmidt ,"Robert Carlock, Tina Fey, Jeff Richmond and David Miner, executive producers; Sam Means, Dan Rubin, Allison Silverman, Leila Strachan and Eric Gurian, co-executive producers; Meredith Scardino and Dara Schnapper, producers; Jerry Kupfer, produced by",Netflix,Comedy
2018,The Marvelous Mrs. Maisel ,"Amy Sherman-Palladino and Daniel Palladino, executive producers; Sheila Lawrence, co-executive producer; Dhana Rivera Gilbert, produced by",Prime Video,Comedy
2018,Atlanta ,"Donald Glover, Paul Simms, Dianne McGunigle and Stephen Glover, executive producers; Hiro Murai, co-executive producer; Stefani Robinson, producer; Alex Orr, produced by",FX,Comedy
2018,Barry ,"Alec Berg and Bill Hader, executive producers; Emily Heller, producer; Aida Rodgers, produced by; Elizabeth Sarnoff, consulting producer",HBO,Comedy
2018,Black-ish ,"Kenya Barris, Anthony Anderson, Laurence Fishburne, Helen Sugland, E. Brian Dobbins, Jonathan Groff, Corey Nickerson and Stacy Traub, executive producers; Gail Lerner, Courtney Lilly, Jenifer Rice-Genzuk Henry, Laura Gutin-Peterson, Lindsey Shockley, Peter Saji and Sam Laybourne, co-executive producers; Christian Lander, supervising producer; Michael Petok, produced by",ABC,Comedy
2018,Curb Your Enthusiasm ,"Larry David, Jeff Garlin and Jeff Schaffer, executive producers; Justin Hurwitz, supervising producer; Jon Hayman and Laura Streicher, producers; Mychelle Deschamps, produced by",HBO,Comedy
2018,GLOW ,"Jenji Kohan, Liz Flahive, Carly Mensch and Tara Herrmann, executive producers; Mark A. Burley, co-executive producer; Nick Jones, supervising producer; Sascha Rothchild, producer; Leanne Moore, produced by",Netflix,Comedy
2018,Silicon Valley ,"Mike Judge, Alec Berg, Clay Tarver, Jim Kleverweis and Jamie Babbit, executive producers; Anthony King, Graham Wagner and Ron Weiner, co-executive producers",HBO,Comedy
2018,Unbreakable Kimmy Schmidt ,"Tina Fey, Robert Carlock, Jeff Richmond, David Miner and Sam Means, executive producers; Dan Rubin, Leila Strachan, Eric Gurian and Meredith Scardino, co-executive producers; Jerry Kupfer, produced by",Netflix,Comedy
2019,Fleabag ,"Phoebe Waller-Bridge, Harry Bradbeer, Lydia Hampson, Harry Williams, Jack Williams and Joe Lewis, executive producers; Sarah Hammond, producer",Prime Video,Comedy
2019,Barry ,"Alec Berg and Bill Hader, executive producers; Aida Rodgers, co-executive producer; Emily Heller, supervising producer; Julie Camino and Jason Kim, producers; Elizabeth Sarnoff, consulting producer",HBO,Comedy
2019,The Good Place ,"Michael Schur, David Miner, Morgan Sackett and Drew Goddard, executive producers; Dylan Morgan, Josh Siegal, Joe Mande and Megan Amram, co-executive producers; Jen Statsky, supervising producer; David Hyman, produced by; Matt Murray, consulting producer",NBC,Comedy
2019,The Marvelous Mrs. Maisel ,"Amy Sherman-Palladino and Daniel Palladino, executive producers; Dhana Rivera Gilbert, co-executive producer; Sheila Lawrence, producer",Prime Video,Comedy
2019,Russian Doll ,"Natasha Lyonne, Leslye Headland, Amy Poehler, Dave Becky, Tony Hernandez, Lilly Burns and Allison Silverman, executive producers; Kate Arend and John Skidmore, producers; Ryan McCormick, produced by",Netflix,Comedy
2019,Schitt's Creek ,"Eugene Levy, Daniel Levy, David West Read, Andrew Barnsley, Fred Levy and Ben Feigin, executive producers; Michael Short and Rupinder Gill, co-executive producers; Colin Brunton, producer",Pop TV,Comedy
2019,Veep ,"David Mandel, Frank Rich, Julia Louis-Dreyfus, Lew Morton, Morgan Sackett, Peter Huyck and Alex Gregory, executive producers; Jennifer Crittenden, Gabrielle Allan, Billy Kimball, Rachel Axler, Ted Cohen, Ian Maxtone-Graham, Dan O'Keefe, Steve Hely and David Hyman, co-executive producers; Georgia Pritchett, supervising producer; Doug Smith, producer; Erik Kenward and Dan Mintz, consulting producers",HBO,Comedy
2020,Schitt's Creek ,"Eugene Levy, Dan Levy, Andrew Barnsley, Fred Levy, David West Read and Ben Feigin, executive producers; Michael Short and Kurt Smeaton, co-executive producers; Kosta Orfanidis, producer",Pop TV,Comedy
2020,Curb Your Enthusiasm ,"Larry David, Jeff Garlin, Jeff Schaffer and Gavin Polone, executive producers; Laura Streicher, producer; Mychelle Deschamps, produced by",HBO,Comedy
2020,Dead to Me ,"Liz Feldman, Will Ferrell, Adam McKay, Jessica Elbaum, Christina Applegate and Christie Smith, executive producers; Linda Cardellini, Cara DiPaolo, Jessi Klein, Elizabeth Benjamin, Dan Dietz and Joe Hardesty, co-executive producers; Buddy Enright and Denise Pleune, producers",Netflix,Comedy
2020,The Good Place ,"Michael Schur, David Miner, Morgan Sackett and Drew Goddard, executive producers; Dylan Morgan, Josh Siegal, Joe Mande, Megan Amram, Jen Statsky and Dave King, co-executive producers; David Hyman, produced by; Matt Murray and Aisha Muharrar, consulting producers",NBC,Comedy
2020,Insecure ,"Issa Rae, Prentice Penny, Melina Matsoukas, Dave Becky, Jonathan Berry, Amy Aniobi and Jim Kleverweis, executive producers; Phil Augusta Jackson and Laura Kittrell, co-executive producers; Deniese Davis and Natasha Rothwell, supervising producers",HBO,Comedy
2020,The Kominsky Method ,"Chuck Lorre, Alan J. Higgins and Michael Douglas, executive producers; Andy Tennant and Beth McCarthy-Miller, producers; Marlis Pujol, produced by",Netflix,Comedy
2020,The Marvelous Mrs. Maisel ,"Amy Sherman-Palladino and Daniel Palladino, executive producers; Dhana Rivera Gilbert, co-executive producer; Matthew Shapiro, Daniel Goldfarb, Kate Fodor and Sono Patel, producers",Prime Video,Comedy
2020,What We Do in the Shadows ,"Jemaine Clement, Taika Waititi, Paul Simms, Scott Rudin, Garrett Basch, Eli Bush and Stefani Robinson, executive producers; Sam Johnson, co-executive producer; Derek S. Rappaport, produced by; Marika Sawyer, consulting producer",FX,Comedy
2021,Ted Lasso ,"Bill Lawrence, Jason Sudeikis, Jeff Ingold, and Bill Wrubel, executive producers; Liza Katzer, co-executive producer; Jane Becker, Jamie Lee, and Kip Kroeger, supervising producers; Brendan Hunt, producer; Tina Pawlik, produced by; Joe Kelly, consulting producer",Apple TV+,Comedy
2021,Black-ish ,"Kenya Barris, Anthony Anderson, Laurence Fishburne, Helen Sugland, E. Brian Dobbins, Michael Petok, Courtney Lilly, and Laura Gutin Peterson, executive producers; Christian Lander, Lisa Muse Bryant, Robb Chavis, and Eric Horsted, co-executive producers; Steven White and Marquita J. Robinson, supervising producers; Tracee Ellis Ross, Jamie Nelsen, and Tom Ragazzo, producers; Heidi G. McGowen, produced by",ABC,Comedy
2021,Cobra Kai ,"Hayden Schlossberg, Jon Hurwitz, Josh Heald, Caleeb Pinkett, Susan Ekins, James Lassiter, and Will Smith, executive producers; Ralph Macchio and William Zabka, co-executive producers; Luan Thomas, Joe Piarulli, and Michael Jonathan Smith, supervising producers; Stacey Harman and Bob Dearden, producers; Bob Wilson, produced by",Netflix,Comedy
2021,Emily in Paris ,"Andrew Fleming, Tony Hernandez, Lilly Burns, and Darren Star, executive producers; Alison Brown, co-executive producer; Grant Sloss, supervising producer; Stephen Joel Brown, Shihan Fey, Jake Fuller, Lily Collins, and RaphaÃ«l Benoliel, producers",Netflix,Comedy
2021,The Flight Attendant ,"Greg Berlanti, Kaley Cuoco, Steve Yockey, Meredith Lavender, Marcie Ulin, and Sarah Schechter, executive producers; Suzanne McCormack and Jess Meyer, co-executive producers; Jennifer Lence and Erika Kennair, producers; Raymond Quinlan, produced by",HBO Max,Comedy
2021,Hacks ,"Jen Statsky, Paul W. Downs, Lucia Aniello, Michael Schur, David Miner, and Morgan Sackett, executive producers; Joanna Calo, Andrew Law, and David Hyman, co-executive producers; Joe Mande and Jessica Chaffin, consulting producers",HBO Max,Comedy
2021,The Kominsky Method ,"Alan J. Higgins, Michael Douglas, and Chuck Lorre, executive producers; Marlis Pujol, co-executive producer; Andy Tennant, producer",Netflix,Comedy
2021,PEN15 ,"Maya Erskine, Anna Konkle, Sam Zvibleman, Debbie Liebling, Vera Santamaria, Marc Provissiero, Brooke Pobjoy, Andy Samberg, Jorma Taccone, Akiva Schaffer, Becky Sloviter, Shelley Zimmerman, Brin Lukens, and Jordan Levin, executive producers; Don Dunn and Scott Levine, producers; Jeremy Reitz, produced by",Hulu,Comedy
2022,Ted Lasso ,"Bill Lawrence, Jason Sudeikis, Brendan Hunt, Joe Kelly, Jeff Ingold and Bill Wrubel, executive producers; Jane Becker, Jamie Lee and Liza Katzer, co-executive producers; Kip Kroeger and Declan Lowney, supervising producers; Leann Bowen and Ashley Nicole Black, producers; Andrew Warren, produced by",Apple TV+,Comedy
2022,Abbott Elementary ,"Quinta Brunson, Justin Halpern, Patrick Schumacker and Randall Einhorn, executive producers; Brian Rubenstein, co-executive producer; Scott Sites and Jordan Temple, producers",ABC,Comedy
2022,Barry ,"Alec Berg, Bill Hader, Aida Rodgers and Liz Sarnoff, executive producers; Emily Heller and Jason Kim, supervising producers; Duffy Boudreau, producer; Julie Camino, produced by",HBO,Comedy
2022,Curb Your Enthusiasm ,"Larry David, Jeff Garlin and Jeff Schaffer, executive producers; Laura Streicher, co-executive producer; Jennifer Corey, produced by",HBO,Comedy
2022,Hacks ,"Jen Statsky, Lucia Aniello, Paul W. Downs, Michael Schur, David Miner and Morgan Sackett, executive producers; Joe Mande, Andrew Law and Aisha Muharrar, co-executive producers; Ashley Glazier and Samantha Riley, producers; Seth Edelstein, produced by; Jessica Chaffin, consulting producer",HBO Max,Comedy
2022,The Marvelous Mrs. Maisel ,"Daniel Palladino and Amy Sherman-Palladino, executive producers; Dhana Rivera Gilbert, co-executive producer; Daniel Goldfarb, supervising producer; Kate Fodor, Matthew Shapiro, Sal Carino and Nick Thomason, producers",Prime Video,Comedy
2022,Only Murders in the Building ,"Dan Fogelman, Jess Rosenthal, Jamie Babbit, Steve Martin, Martin Short, Selena Gomez and John Hoffman, executive producers; Kristin Newman and Kirker Butler, co-executive producers; Ben Smith, Matteo Borghese and Rob Turbovsky, supervising producers; Thembi L. Banks, producer; Jane Raab, produced by",Hulu,Comedy
