nomination_id,award_id,year,title_id,actor_id,network_id,category_id,role,episode,producers,winner
1,1,2010,316,0,10,10,,,"Steven Levitan and Christopher Lloyd, executive producers; Jason Winer, Danny Zuker, Dan O'Shannon, Bill Wrubel, Paul Corrigan and Brad Walsh, co-executive producers; Jeff Morton, producer",True
2,1,2011,316,0,10,10,,,"Steven Levitan and Christopher Lloyd, executive producers; Jeff Morton, Danny Zuker, Dan O'Shannon, Bill Wrubel, Paul Corrigan, Brad Walsh, Ilana Wernick, Jeffrey Richman and Abraham Higginbotham, co-executive producers",True
3,1,2012,316,0,10,10,,,"Steven Levitan, Christopher Lloyd, Danny Zuker, Dan O'Shannon, Bill Wrubel, Paul Corrigan and Brad Walsh, executive producers; Jeff Morton, Jeffrey Richman, Abraham Higginbotham and Cindy Chupack, co-executive producers; Chris Smirnoff, producer",True
4,1,2013,316,0,10,10,,,"Steven Levitan, Christopher Lloyd, Danny Zuker, Dan O'Shannon, Bill Wrubel, Paul Corrigan, Brad Walsh, Jeffrey Richman, Abraham Higginbotham and Jeff Morton, executive producers; Ben Karlin, co-executive producer; Elaine Ko and Chris Smirnoff, producers",True
5,1,2014,316,0,10,10,,,"Steven Levitan, Christopher Lloyd, Dan O'Shannon, Paul Corrigan, Brad Walsh, Bill Wrubel, Danny Zuker, Jeffrey Richman, Abraham Higginbotham and Jeff Morton, executive producers; Ben Karlin, co-executive producer; Elaine Ko and Megan Ganz, supervising producers; Chris Smirnoff and Sally Young, producers",True
6,1,2015,316,0,10,10,,,"Christopher Lloyd, Steven Levitan, Paul Corrigan, Brad Walsh, Danny Zuker, Abraham Higginbotham, Jeffrey Richman and Jeff Morton, executive producers; Elaine Ko, Megan Ganz, Vali Chandrasekaran, Stephen Lloyd, Rick Wiener, Kenny Schwartz and Chuck Tatham, co-executive producers; Chris Smirnoff and Sally Young, producers",False
7,1,2016,316,0,10,10,,,"Steven Levitan, Christopher Lloyd, Paul Corrigan, Brad Walsh, Danny Zuker, Abraham Higginbotham, Jeffrey Richman, Elaine Ko, Stephen Lloyd and Jeff Morton, executive producers; Vali Chandrasekaran, Chuck Tatham, Andy Gordon, Jon Pollack and Vanessa McCarthy, co-executive producers; Chris Smirnoff and Sally Young, producers",False
8,1,2017,316,0,10,10,,,"Christopher Lloyd, Steven Levitan, Paul Corrigan, Brad Walsh, Danny Zuker, Abraham Higginbotham, Jeffrey Richman, Elaine Ko, Stephen Lloyd, Vali Chandrasekaran, Chuck Tatham and Jeff Morton, executive producers; Andy Gordon and Jon Pollack, co-executive producers; Sally Young, producer; Christy Stratton, consulting producer",False
9,1,2016,331,0,10,10,,,"Kenya Barris, Jonathan Groff, Anthony Anderson, E. Brian Dobbins, Laurence Fishburne and Helen Sugland, executive producers; Gail Lerner, Vijal Patel, Corey Nickerson and Courtney Lilly, co-executive producers; Lindsey Shockley, Peter Saji, Jenifer Rice-Genzuk Henry and Hale Rothstein, supervising producers; Michael Petok, produced by",False
10,1,2017,331,0,10,10,,,"Jonathan Groff, Kenya Barris, Anthony Anderson, Laurence Fishburne, Helen Sugland, E. Brian Dobbins and Corey Nickerson, executive producers; Gail Lerner, Courtney Lilly, Jenifer Rice-Genzuk Henry, Hale Rothstein, Kenny Smith, Laura Gutin Peterson, Vijal Patel, Emily Halpern and Sarah Haskins, co-executive producers; Lindsey Shockley and Peter Saji, supervising producers; Michael Petok, produced by",False
11,1,2018,331,0,10,10,,,"Kenya Barris, Anthony Anderson, Laurence Fishburne, Helen Sugland, E. Brian Dobbins, Jonathan Groff, Corey Nickerson and Stacy Traub, executive producers; Gail Lerner, Courtney Lilly, Jenifer Rice-Genzuk Henry, Laura Gutin-Peterson, Lindsey Shockley, Peter Saji and Sam Laybourne, co-executive producers; Christian Lander, supervising producer; Michael Petok, produced by",False
12,1,2021,331,0,10,10,,,"Kenya Barris, Anthony Anderson, Laurence Fishburne, Helen Sugland, E. Brian Dobbins, Michael Petok, Courtney Lilly, and Laura Gutin Peterson, executive producers; Christian Lander, Lisa Muse Bryant, Robb Chavis, and Eric Horsted, co-executive producers; Steven White and Marquita J. Robinson, supervising producers; Tracee Ellis Ross, Jamie Nelsen, and Tom Ragazzo, producers; Heidi G. McGowen, produced by",False
13,1,2022,351,0,10,10,,,"Quinta Brunson, Justin Halpern, Patrick Schumacker and Randall Einhorn, executive producers; Brian Rubenstein, co-executive producer; Scott Sites and Jordan Temple, producers",False
14,1,2010,317,0,3,10,,,"Larry David, Jeff Garlin, Gavin Polone, Alec Berg, David Mandel, Jeff Schaffer, Tim Gibbons and Erin O'Malley, executive producers",False
15,1,2012,317,0,3,10,,,"Larry David, Jeff Garlin, Gavin Polone, Alec Berg, David Mandel, Jeff Schaffer, Larry Charles, Tim Gibbons and Erin O'Malley, executive producers; Laura Streicher, producer",False
16,1,2018,317,0,3,10,,,"Larry David, Jeff Garlin and Jeff Schaffer, executive producers; Justin Hurwitz, supervising producer; Jon Hayman and Laura Streicher, producers; Mychelle Deschamps, produced by",False
17,1,2020,317,0,3,10,,,"Larry David, Jeff Garlin, Jeff Schaffer and Gavin Polone, executive producers; Laura Streicher, producer; Mychelle Deschamps, produced by",False
18,1,2022,317,0,3,10,,,"Larry David, Jeff Garlin and Jeff Schaffer, executive producers; Laura Streicher, co-executive producer; Jennifer Corey, produced by",False
19,1,2012,324,0,3,10,,,"Lena Dunham, Judd Apatow and Jenni Konner, executive producers; Ilene S. Landress and Bruce Eric Kaplan, co-executive producers",False
20,1,2013,324,0,3,10,,,"Lena Dunham, Judd Apatow and Jenni Konner, executive producers; Ilene S. Landress and Bruce Eric Kaplan, co-executive producers",False
21,1,2012,325,0,3,10,,,"Armando Iannucci, Christopher Godsick and Frank Rich, executive producers; Simon Blackwell and Tony Roche, co-executive producers; Julia Louis-Dreyfus, producer; Stephanie Laing, produced by",False
22,1,2013,325,0,3,10,,,"Armando Iannucci, Christopher Godsick and Frank Rich, executive producers; Simon Blackwell and Tony Roche, co-executive producers; Julia Louis-Dreyfus and Stephanie Laing, producers",False
23,1,2014,325,0,3,10,,,"Armando Iannucci, Christopher Godsick and Frank Rich, executive producers; Simon Blackwell and Tony Roche, co-executive producers; Chris Addison, Roger Drew, Sean Gray, Ian Martin and Will Smith, supervising producers; Julia Louis-Dreyfus, producer; Stephanie Laing, produced by",False
24,1,2015,325,0,3,10,,,"Armando Iannucci, Christopher Godsick, Frank Rich, Chris Addison, Simon Blackwell, Tony Roche, Julia Louis-Dreyfus and Stephanie Laing, executive producers; Kevin Cecil, Roger Drew, Sean Gray, Ian Martin, Georgia Pritchett, David Quantick, Andy Riley and Will Smith, supervising producers; Bill Hill, produced by",True
25,1,2016,325,0,3,10,,,"David Mandel, Frank Rich, Julia Louis-Dreyfus, Lew Morton and Christopher Godsick, executive producers; Morgan Sackett, Sean Gray, Peter Huyck, Alex Gregory, Jim Margolis, Georgia Pritchett and Will Smith, co-executive producers; Chris Addison and Rachel Axler, supervising producers; David Hyman, produced by; Erik Kenward, Billy Kimball and Steve Koren, consulting producers",True
26,1,2017,325,0,3,10,,,"David Mandel, Frank Rich, Julia Louis-Dreyfus, Lew Morton and Morgan Sackett, executive producers; Peter Huyck, Alex Gregory, Georgia Pritchett, Jennifer Crittenden, Gabrielle Allan, Ian Maxtone-Graham, Steve Hely, Ted Cohen and David Hyman, co-executive producers; Rachel Axler and Billy Kimball, supervising producers; Dale Stern, producer; Erik Kenward and Dan Mintz, consulting producers",True
27,1,2019,325,0,3,10,,,"David Mandel, Frank Rich, Julia Louis-Dreyfus, Lew Morton, Morgan Sackett, Peter Huyck and Alex Gregory, executive producers; Jennifer Crittenden, Gabrielle Allan, Billy Kimball, Rachel Axler, Ted Cohen, Ian Maxtone-Graham, Dan O'Keefe, Steve Hely and David Hyman, co-executive producers; Georgia Pritchett, supervising producer; Doug Smith, producer; Erik Kenward and Dan Mintz, consulting producers",False
28,1,2014,328,0,3,10,,,"Mike Judge, Alec Berg, John Altschuler, Dave Krinsky, Michael Rotenberg and Tom Lassally, executive producers; Jim Kleverweis, produced by",False
29,1,2015,328,0,3,10,,,"Mike Judge, Alec Berg, John Altschuler, Dave Krinsky, Michael Rotenberg and Tom Lassally, executive producers; Dan O'Keefe and Clay Tarver, co-executive producers; Sonny Lee and Ron Weiner, supervising producers; Carrie Kemper, producer; Jim Kleverweis, produced by",False
30,1,2016,328,0,3,10,,,"Mike Judge, Alec Berg, Michael Rotenberg and Tom Lassally, executive producers; Clay Tarver, Dan O'Keefe, Ron Weiner, John Levenstein and Jim Kleverweis, co-executive producers; Carrie Kemper, supervising producer; Adam Countee, producer",False
31,1,2017,328,0,3,10,,,"Mike Judge, Alec Berg, Michael Rotenberg and Tom Lassally, executive producers; Clay Tarver, Dan O'Keefe, Chris Provenzano, Graham Wagner, Jamie Babbit and Jim Kleverweis, co-executive producers; Carrie Kemper, Adam Countee and Aaron Zelman, supervising producers",False
32,1,2018,328,0,3,10,,,"Mike Judge, Alec Berg, Clay Tarver, Jim Kleverweis and Jamie Babbit, executive producers; Anthony King, Graham Wagner and Ron Weiner, co-executive producers",False
33,1,2018,335,0,3,10,,,"Alec Berg and Bill Hader, executive producers; Emily Heller, producer; Aida Rodgers, produced by; Elizabeth Sarnoff, consulting producer",False
34,1,2019,335,0,3,10,,,"Alec Berg and Bill Hader, executive producers; Aida Rodgers, co-executive producer; Emily Heller, supervising producer; Julie Camino and Jason Kim, producers; Elizabeth Sarnoff, consulting producer",False
35,1,2022,335,0,3,10,,,"Alec Berg, Bill Hader, Aida Rodgers and Liz Sarnoff, executive producers; Emily Heller and Jason Kim, supervising producers; Duffy Boudreau, producer; Julie Camino, produced by",False
36,1,2020,342,0,3,10,,,"Issa Rae, Prentice Penny, Melina Matsoukas, Dave Becky, Jonathan Berry, Amy Aniobi and Jim Kleverweis, executive producers; Phil Augusta Jackson and Laura Kittrell, co-executive producers; Deniese Davis and Natasha Rothwell, supervising producers",False
37,1,2010,318,0,4,10,,,"Ryan Murphy, Brad Falchuk and Dante Di Loreto, executive producers; Ian Brennan, co-executive producer; Bradley Buecker, supervising producer; Alexis Martin Woodall, producer; Kenneth Silverstein, produced by",False
38,1,2011,318,0,4,10,,,"Ryan Murphy, Brad Falchuk, Dante Di Loreto and Ian Brennan, executive producers; Bradley Buecker, supervising producer; Alexis Martin Woodall, Kenneth Silverstein and Michael Novick, producers",False
39,1,2010,319,0,7,10,,,"Linda Wallem, Liz Brixius, John Melfi, Caryn Mandabach, Richie Jackson, Christine Zander and Mark Hudis, executive producers; Rick Cleveland, co-executive producer; Bari Halle, produced by",False
40,1,2010,320,0,2,10,,,"Greg Daniels, Ben Silverman, Ricky Gervais, Stephen Merchant, Howard Klein and Paul Lieberstein, executive producers; Mindy Kaling, Lee Eisenberg, B. J. Novak, Aaron Shure and Teri Weinberg, co-executive producers; Daniel Chun, supervising producer; Steve Carell, Justin Spitzer, Charlie Grandy, Warren Lieberstein and Halsted Sullivan, producers; Randy Cordray, produced by",False
41,1,2011,320,0,2,10,,,"Ben Silverman, Greg Daniels, Ricky Gervais, Stephen Merchant, Howard Klein and Paul Lieberstein, executive producers; B. J. Novak, executive producer/co-executive producer; Teri Weinberg, Mindy Kaling, Aaron Shure, Daniel Chun and Peter Ocko, co-executive producers; Justin Spitzer and Charlie Grandy, supervising producers; Steve Carell, Warren Lieberstein, Halsted Sullivan and Steve Hely, producers; Randy Cordray, produced by",False
42,1,2010,321,0,2,10,,,"Lorne Michaels, Tina Fey, Marci Klein, David Miner and Robert Carlock, executive producers; John Riggi and Ron Weiner, co-executive producers",False
43,1,2011,321,0,2,10,,,"Lorne Michaels, Tina Fey, Robert Carlock, Marci Klein, David Miner, Jeff Richmond and John Riggi, executive producers; Ron Weiner, Jack Burditt and Matt Hubbard, co-executive producers; Alec Baldwin, Kay Cannon, Vali Chandrasekaran, Don Scardino, Josh Siegal, Dylan Morgan and Irene Burns, producers; Jerry Kupfer, produced by",False
44,1,2012,321,0,2,10,,,"Lorne Michaels, Tina Fey, Robert Carlock, Marci Klein, David Miner, Jeff Richmond and John Riggi, executive producers; Ron Weiner and Matt Hubbard, co-executive producers; Kay Cannon, Vali Chandrasekaran, Josh Siegal, Dylan Morgan and Luke Del Tredici, supervising producers; Jerry Kupfer, Alec Baldwin and Irene Burns, producers",False
45,1,2013,321,0,2,10,,,"Tina Fey, Robert Carlock, Marci Klein, David Miner, Jeff Richmond, Jack Burditt and Lorne Michaels, executive producers; Matt Hubbard, Josh Siegal, Dylan Morgan and Luke Del Tredici, co-executive producers; Alec Baldwin, Colleen McGuinness, Tracey Wigfield and Jerry Kupfer, producers",False
46,1,2011,323,0,2,10,,,"Greg Daniels, Michael Schur, Howard Klein and David Miner, executive producers; Dan Goor, supervising producer; Amy Poehler and Emily Spivey, producers; Morgan Sackett, produced by",False
47,1,2015,323,0,2,10,,,"Greg Daniels, Michael Schur, Howard Klein, David Miner, Morgan Sackett and Dean Holland, executive producers; Alan Yang, Harris Wittels, Donick Cary, Matt Murray and Aisha Muharrar, co-executive producers; Dave King, David Hyman and Amy Poehler, producers",False
48,1,2019,338,0,2,10,,,"Michael Schur, David Miner, Morgan Sackett and Drew Goddard, executive producers; Dylan Morgan, Josh Siegal, Joe Mande and Megan Amram, co-executive producers; Jen Statsky, supervising producer; David Hyman, produced by; Matt Murray, consulting producer",False
49,1,2020,338,0,2,10,,,"Michael Schur, David Miner, Morgan Sackett and Drew Goddard, executive producers; Dylan Morgan, Josh Siegal, Joe Mande, Megan Amram, Jen Statsky and Dave King, co-executive producers; David Hyman, produced by; Matt Murray and Aisha Muharrar, consulting producers",False
50,1,2011,322,0,1,10,,,"Chuck Lorre, Bill Prady, Steven Molaro and Lee Aronsohn, executive producers; Dave Goetsch and Eric Kaplan, co-executive producers; Jim Reynolds and Peter Chakos, supervising producers; Steve Holland, producer; Faye Oshima Belyeu, produced by",False
51,1,2012,322,0,1,10,,,"Chuck Lorre, Bill Prady and Steven Molaro, executive producers; Dave Goetsch, Eric Kaplan and Jim Reynolds, co-executive producers; Steve Holland and Peter Chakos, supervising producers; Maria Ferrari, producer; Faye Oshima Belyeu, produced by",False
52,1,2013,322,0,1,10,,,"Chuck Lorre, Steven Molaro and Bill Prady, executive producers; Dave Goetsch, Eric Kaplan, Jim Reynolds, Steve Holland, Eddie Gorodetsky and Faye Oshima Belyeu, co-executive producers; Peter Chakos and Maria Ferrari, supervising producers",False
53,1,2014,322,0,1,10,,,"Chuck Lorre, Steven Molaro and Bill Prady, executive producers; Dave Goetsch, Eric Kaplan, Jim Reynolds, Steve Holland, Maria Ferrari and Faye Oshima Belyeu, co-executive producers; Peter Chakos, supervising producer; Kristy Cecil, producer",False
54,1,2013,326,0,6,10,,,"Louis C.K., M. Blair Breard and Dave Becky, executive producers; Tony Hernandez, supervising producer; Vernon Chatman, producer",False
55,1,2014,326,0,6,10,,,"Louis C.K., M. Blair Breard and Dave Becky, executive producers; Adam Escott, supervising producer; Pamela Adlon and Vernon Chatman, producers; Steven Wright, consulting producer",False
56,1,2015,326,0,6,10,,,"Louis C.K., M. Blair Breard and Dave Becky, executive producers; Adam Escott, supervising producer; Pamela Adlon, Vernon Chatman and Steven Wright, producers; John Skidmore, produced by",False
57,1,2017,333,0,6,10,,,"Donald Glover, Paul Simms and Dianne McGunigle, executive producers; Hiro Murai, producer; Alex Orr, produced by",False
58,1,2018,333,0,6,10,,,"Donald Glover, Paul Simms, Dianne McGunigle and Stephen Glover, executive producers; Hiro Murai, co-executive producer; Stefani Robinson, producer; Alex Orr, produced by",False
59,1,2020,344,0,6,10,,,"Jemaine Clement, Taika Waititi, Paul Simms, Scott Rudin, Garrett Basch, Eli Bush and Stefani Robinson, executive producers; Sam Johnson, co-executive producer; Derek S. Rappaport, produced by; Marika Sawyer, consulting producer",False
60,1,2022,344,0,6,10,,,"Jemaine Clement, Taika Waititi, Paul Simms, Garrett Basch, Eli Bush and Stefani Robinson, executive producers; Sam Johnson, Yana Gorskaya, Kyle Newacheck and Marika Sawyer, co-executive producers; Ingrid Lageder, producer; Derek S. Rappaport, produced by",False
61,1,2014,327,0,8,10,,,"Jenji Kohan, executive producer; Sara Hess, Michael Trim and Lisa I. Vinnecour, co-executive producers; Gary Lennon, supervising producer; Neri Kyle Tannenbaum, produced by; Mark A. Burley, consulting producer",False
62,1,2015,330,0,8,10,,,"Jeff Richmond, David Miner, Jack Burditt, Tina Fey and Robert Carlock, executive producers; Allison Silverman and Eric Gurian, co-executive producers; Dan Rubin and Lon Zimmet, supervising producers; Sam Means and Dara Schnapper, producers; Jerry Kupfer, produced by",False
63,1,2016,330,0,8,10,,,"Robert Carlock, Tina Fey, Jeff Richmond and David Miner, executive producers; Allison Silverman, Josh Siegal, Dylan Morgan and Eric Gurian, co-executive producers; Sam Means, Dan Rubin and Leila Strachan, supervising producers; Dara Schnapper, producer; Jerry Kupfer, produced by",False
64,1,2017,330,0,8,10,,,"Robert Carlock, Tina Fey, Jeff Richmond and David Miner, executive producers; Sam Means, Dan Rubin, Allison Silverman, Leila Strachan and Eric Gurian, co-executive producers; Meredith Scardino and Dara Schnapper, producers; Jerry Kupfer, produced by",False
65,1,2018,330,0,8,10,,,"Tina Fey, Robert Carlock, Jeff Richmond, David Miner and Sam Means, executive producers; Dan Rubin, Leila Strachan, Eric Gurian and Meredith Scardino, co-executive producers; Jerry Kupfer, produced by",False
66,1,2016,332,0,8,10,,,"Aziz Ansari, Alan Yang, Michael Schur, David Miner and Dave Becky, executive producers; Harris Wittels, co-executive producer; Igor Srubshchik, produced by",False
67,1,2017,332,0,8,10,,,"Aziz Ansari, Alan Yang, Michael Schur, David Miner, Dave Becky and Igor Srubshchik, executive producers; Andy Blitz, co-executive producer; Eric Wareheim, supervising producer",False
68,1,2018,336,0,8,10,,,"Jenji Kohan, Liz Flahive, Carly Mensch and Tara Herrmann, executive producers; Mark A. Burley, co-executive producer; Nick Jones, supervising producer; Sascha Rothchild, producer; Leanne Moore, produced by",False
69,1,2019,339,0,8,10,,,"Natasha Lyonne, Leslye Headland, Amy Poehler, Dave Becky, Tony Hernandez, Lilly Burns and Allison Silverman, executive producers; Kate Arend and John Skidmore, producers; Ryan McCormick, produced by",False
70,1,2020,341,0,8,10,,,"Liz Feldman, Will Ferrell, Adam McKay, Jessica Elbaum, Christina Applegate and Christie Smith, executive producers; Linda Cardellini, Cara DiPaolo, Jessi Klein, Elizabeth Benjamin, Dan Dietz and Joe Hardesty, co-executive producers; Buddy Enright and Denise Pleune, producers",False
71,1,2020,343,0,8,10,,,"Chuck Lorre, Alan J. Higgins and Michael Douglas, executive producers; Andy Tennant and Beth McCarthy-Miller, producers; Marlis Pujol, produced by",False
72,1,2021,343,0,8,10,,,"Alan J. Higgins, Michael Douglas, and Chuck Lorre, executive producers; Marlis Pujol, co-executive producer; Andy Tennant, producer",False
73,1,2021,346,0,8,10,,,"Hayden Schlossberg, Jon Hurwitz, Josh Heald, Caleeb Pinkett, Susan Ekins, James Lassiter, and Will Smith, executive producers; Ralph Macchio and William Zabka, co-executive producers; Luan Thomas, Joe Piarulli, and Michael Jonathan Smith, supervising producers; Stacey Harman and Bob Dearden, producers; Bob Wilson, produced by",False
74,1,2021,347,0,8,10,,,"Andrew Fleming, Tony Hernandez, Lilly Burns, and Darren Star, executive producers; Alison Brown, co-executive producer; Grant Sloss, supervising producer; Stephen Joel Brown, Shihan Fey, Jake Fuller, Lily Collins, and RaphaÃ«l Benoliel, producers",False
75,1,2015,329,0,9,10,,,"Joey Soloway (as Jill Soloway), executive producer; Andrea Sperling, co-executive producer; Bridget Bedard, supervising producer; Victor Hsu, produced by; Rick Rosenthal and Nisha Ganatra, consulting producers",False
76,1,2016,329,0,9,10,,,"Joey Soloway (as Jill Soloway) and Andrea Sperling, executive producers; Victor Hsu and Bridget Bedard, co-executive producers; Noah Harpster and Micah Fitzerman-Blue, producers; Rick Rosenthal, consulting producer",False
77,1,2018,334,0,16,10,,,"Amy Sherman-Palladino and Daniel Palladino, executive producers; Sheila Lawrence, co-executive producer; Dhana Rivera Gilbert, produced by",True
78,1,2019,334,0,16,10,,,"Amy Sherman-Palladino and Daniel Palladino, executive producers; Dhana Rivera Gilbert, co-executive producer; Sheila Lawrence, producer",False
79,1,2020,334,0,16,10,,,"Amy Sherman-Palladino and Daniel Palladino, executive producers; Dhana Rivera Gilbert, co-executive producer; Matthew Shapiro, Daniel Goldfarb, Kate Fodor and Sono Patel, producers",False
80,1,2022,334,0,16,10,,,"Daniel Palladino and Amy Sherman-Palladino, executive producers; Dhana Rivera Gilbert, co-executive producer; Daniel Goldfarb, supervising producer; Kate Fodor, Matthew Shapiro, Sal Carino and Nick Thomason, producers",False
81,1,2019,337,0,16,10,,,"Phoebe Waller-Bridge, Harry Bradbeer, Lydia Hampson, Harry Williams, Jack Williams and Joe Lewis, executive producers; Sarah Hammond, producer",True
82,1,2019,340,0,11,10,,,"Eugene Levy, Daniel Levy, David West Read, Andrew Barnsley, Fred Levy and Ben Feigin, executive producers; Michael Short and Rupinder Gill, co-executive producers; Colin Brunton, producer",False
83,1,2020,340,0,11,10,,,"Eugene Levy, Dan Levy, Andrew Barnsley, Fred Levy, David West Read and Ben Feigin, executive producers; Michael Short and Kurt Smeaton, co-executive producers; Kosta Orfanidis, producer",True
84,1,2021,345,0,13,10,,,"Bill Lawrence, Jason Sudeikis, Jeff Ingold, and Bill Wrubel, executive producers; Liza Katzer, co-executive producer; Jane Becker, Jamie Lee, and Kip Kroeger, supervising producers; Brendan Hunt, producer; Tina Pawlik, produced by; Joe Kelly, consulting producer",True
