imdb_title_id,title_id,Rank,Years of running,Certificate,Rating,Votes,Synopsis
1,1,1,(2008–2013),MA,9.5,1969786,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
2,2,2,(2011–2019),MA,9.2,2157720,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
3,3,3,-2019,MA,9.4,794031,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes."
4,4,4,-2001,MA,9.4,482652,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day."
5,5,5,(2010–2017),14,9.1,948481,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.
6,6,6,(2002–2008),MA,9.3,351597,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
7,7,7,(2005–2008),Y7-FV,9.3,329959,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
8,8,8,(1994–2004),14,8.9,1023769,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.
9,9,9,(1999–2007),MA,9.2,421341,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling."
10,10,10,(2013– ),14,9.1,549438,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
11,11,11,(2005–2013),14,9.0,637309,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
12,11,137,(2001–2003),MA,8.5,116903,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.
13,12,12,(2013–2023),MA,9.1,408319,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
14,13,13,(2016–2022),14,8.7,1238960,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
15,14,14,(2014– ),MA,8.9,592615,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
16,15,15,(2015–2022),MA,8.9,570948,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
17,16,16,(2006–2007),14,9.0,341258,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
18,17,17,(2013–2022),MA,8.8,578596,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
19,18,18,(2011– ),MA,8.8,569974,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
20,19,19,(2006–2013),MA,8.7,737552,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them."
21,20,20,(2014–2023),MA,8.9,382512,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
22,21,21,(2002–2003),14,9.0,271280,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
23,22,22,(1989–1998),PG,8.9,330274,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.
24,23,23,(2015–2017),MA,8.8,440376,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
25,24,24,(2009–2010),14,9.1,177671,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
26,25,25,(2019– ),MA,8.7,548803,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
27,26,26,(2019– ),14,8.7,540988,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
28,27,27,(2021– ),14,9.0,226426,"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart."
29,28,28,(2023– ),MA,8.8,401339,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope."
30,29,29,(2013–2018),MA,8.7,513755,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
31,30,30,(2004–2012),14,8.7,477804,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.
32,31,31,(1989– ),14,8.7,416915,The satiric adventures of a working-class family in the misfit city of Springfield.
33,32,32,(2017–2020),MA,8.7,407222,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
34,33,33,(1997– ),14,8.7,386877,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado."
35,34,34,-2020,MA,8.6,486176,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price."
36,35,35,(2020– ),MA,8.8,256547,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team."
37,36,36,(2015–2018),MA,8.6,452108,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
38,37,37,(2003–2019),14,8.7,312100,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
39,38,38,(2005– ),MA,8.8,234265,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.
40,39,39,(2013–2020),MA,8.5,550093,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore--and raid--the distant shores across the ocean."
41,40,40,(2016–2022),MA,8.5,514869,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence."
42,41,41,(1990–1991),MA,8.8,203568,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.
43,41,184,-2017,MA,8.5,70635,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.
44,42,42,(1959–1964),PG,9.1,86926,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner."
45,43,43,(2011–2014),14,9.0,110269,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger."
46,44,44,(2009–2020),PG,8.5,448662,Three different but related families face trials and tribulations in their own uniquely comedic ways.
47,45,45,(2007–2015),MA,8.7,246590,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper."
48,46,46,(1992–1995),PG,9.0,108148,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
49,47,47,(2018–2023),MA,8.8,183336,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
50,48,48,(1999– ),14,8.9,138123,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece""."
51,49,49,(2008–2014),MA,8.6,306228,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.
52,50,50,(2017–2019),MA,8.6,304323,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases."
53,51,51,(2014–2020),MA,8.8,168308,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
54,52,52,(2015–2019),MA,8.5,397712,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
55,53,53,-2019,MA,8.9,127221,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.
56,54,54,(1998–1999),14,8.9,126183,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
57,55,55,(2010–2015),PG,8.7,212920,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
58,56,56,(2005–2014),14,8.3,699589,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
59,57,57,(2009–2015),14,8.6,269411,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.
60,58,58,(2012–2016),Y7,8.9,117635,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
61,59,59,-2018,MA,8.6,257272,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
62,60,60,(1999–2000),14,8.8,146707,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.
63,61,61,(2011–2021),MA,8.6,253339,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
64,62,62,(2005–2020),14,8.4,457865,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth."
65,63,63,(2017–2022),MA,8.5,326060,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
66,63,63,(2017–2022),MA,8.5,326060,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
67,64,65,(2007–2019),PG,8.2,827303,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.
68,65,66,(1989–1996),PG,8.8,136364,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
69,66,67,(2005–2007),MA,8.7,176288,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.
70,67,68,(1993–2018),14,8.6,233697,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
71,68,69,(2011–2019),14,8.4,423943,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers."
72,69,70,(2000– ),MA,8.8,133846,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.
73,70,71,(2018–2023),MA,8.7,175303,A ranching family in Montana faces off against others encroaching on their land.
74,71,72,(2005– ),PG,8.6,230943,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.
75,72,73,(2016–2023),MA,8.6,229261,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.
76,73,74,(2004–2010),14,8.3,566508,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.
77,74,75,(2016–2019),MA,8.7,172173,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
78,75,76,(2004–2009),14,8.7,169743,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth."
79,75,169,-2003,14,8.5,77482,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth."
80,76,77,(2015–2019),PG,8.7,169149,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
81,77,78,(2005–2017),14,8.3,550506,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside."
82,78,79,(2010–2022),MA,8.1,1025075,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
83,79,80,(2009–2015),14,8.5,275693,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.
84,80,81,(2021– ),MA,8.7,151585,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.
85,81,82,(2022– ),MA,8.7,150807,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs."
86,82,83,(2016–2022),14,8.7,149195,"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents."
87,83,84,(2013–2015),MA,8.5,261536,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.
88,84,85,(2010–2014),MA,8.6,194516,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
89,85,86,(2010–2013),MA,8.5,247238,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome."
90,86,87,(2017–2019),MA,8.5,246631,"After his revenge on those who murdered his family, aimless Marine veteran Frank Castle finds a new meaning in life as a vigilante known as ""The Punisher""."
91,87,88,(2013–2021),14,8.4,331395,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct."
92,88,89,(1999–2023),14,8.5,245239,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999."
93,89,90,(2001–2005),MA,8.7,138593,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.
94,90,91,(2007–2017),PG,8.7,136092,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
95,91,92,(1999–2006),14,8.9,80075,Inside the lives of staffers in the West Wing of the White House.
96,92,93,(1987–1994),PG,8.7,126903,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before."
97,93,94,(1975–1979),PG,8.8,96071,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away."
98,94,95,(2017–2023),MA,8.7,122563,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?"
99,95,96,(2009– ),MA,8.6,158844,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.
100,96,97,(2017–2019),MA,8.5,209084,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.
101,97,98,(2019– ),MA,8.7,117127,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
102,98,99,(1981–2003),PG,9.0,53723,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.
103,99,100,(2017–2021),MA,8.2,494468,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
104,100,101,-1995,PG,8.8,87578,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy."
105,101,102,(2001–2010),14,8.4,261625,"In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship and life."
106,102,103,(2018–2023),14,8.5,192975,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
107,103,104,(2011–2020),MA,8.3,348872,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.
108,104,105,(2008–2013),14,8.4,249161,An F.B.I. agent is forced to work with an institutionalized scientist and his son in order to rationalize a brewing storm of unexplained phenomena.
109,105,106,(2017– ),MA,8.4,246318,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship."
110,106,107,(2011–2016),14,8.5,180944,"An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mystery."
111,107,108,(1997–2003),MA,8.7,102103,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.
112,108,109,(2004–2011),MA,8.5,172315,Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.
113,109,110,(2019– ),MA,8.3,298322,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.
114,110,111,(2015–2022),14,8.5,160246,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente."
115,111,112,(2021–2022),MA,8.7,92302,Follows the Dutton family as they embark on a journey west.
116,112,113,(2006–2013),14,8.5,157540,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
117,113,114,-2018,MA,9.0,43219,A man diagnosed with Alzheimer's decides to punish criminals.
118,114,115,(2012–2014),MA,8.6,119080,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor."
119,115,116,(2014–2019),MA,8.5,156031,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
120,116,117,(2019– ),MA,8.1,517109,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
121,117,118,(2015–2022),MA,8.5,151794,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright."
122,118,119,(2011–2015),14,8.8,66157,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
123,119,120,(2004–2006),MA,8.6,110990,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime."
124,120,121,(1999– ),MA,8.2,349768,"In a wacky Rhode Island town, a dysfunctional family strives to cope with everyday life as they are thrown from one crazy scenario to another."
125,121,122,(2001–2010),14,8.4,190903,Counter Terrorism Agent Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.
126,122,123,(2002–2008),MA,8.7,83180,Drama series following the lives and cases of dirty cop Vic Mackey and the corrupt LAPD unit under his command.
127,123,124,-2011,MA,8.5,140724,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household."
128,124,125,(2021– ),14,8.2,337813,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”
